City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
411,tucuman,-26.8241,-65.2226,91.4,46,20,2.3,AR
412,camacha,33.0833,-16.3333,60.22,88,75,8.05,PT
413,camacari,-12.6975,-38.3242,82.17,67,1,8.57,BR
414,djambala,-2.5447,14.7533,75.78,58,43,1.54,CG
415,tuatapere,-46.1333,167.6833,49.41,85,100,1.99,NZ
416,acambay,19.9558,-99.8417,77.04,8,73,6.38,MX
417,tlacotalpan,18.6167,-95.6667,80.11,62,21,9.24,MX
418,sangar,63.9242,127.4739,-9.15,99,100,2.86,RU
419,dali,25.7,100.1833,47.41,53,0,4.05,CN
420,maroua,10.591,14.3159,92.88,14,23,5.59,CM
421,termiz,37.2242,67.2783,59.09,58,0,9.22,UZ
422,beira,-19.8436,34.8389,78.89,100,40,3.44,MZ
